product_name,store_name,keyword,product_cost,p_c_ratio,growth_pct,order_trend_score,trend_change_pct,saturation,top_country,shipping_cost,estimated_sale_price,supplier_url,category,source,supplier,image_url,zendrop_product_id,first_seen_at,last_seen_at
Oversized Tropical Seas Printed Faded T-shirt,Tropical Seas Clothing,oversized tropical seas printed faded t-shirt,60.89,0.8,45.0,,45.0,,,0.0,109.6,https://app.zendrop.com/product?page=1,clothing,Zendrop Product Card,Zendrop,https://file.zendrop.com/products/f3/92/196893cf4838a1ddcb5fd5fdb4b0.jpeg,,2026-06-23 17:10:07,2026-06-23 17:10:07
Men’s Dreamland heavyweight t-shirt,Tropical Seas Clothing,men’s dreamland heavyweight t-shirt,51.69,2.2,-36.0,,-36.0,,,0.0,165.41,https://app.zendrop.com/product?page=1,fitness,Zendrop Product Card,Zendrop,https://file.zendrop.com/products/48/ef/f390beb349b196df0423473e0bb5.jpeg,,2026-06-23 17:10:07,2026-06-23 17:10:07
Creative Resin Buddha Hand Sculpture for Home Decor,Zendrop Fulfillment,creative resin buddha hand sculpture for home decor,9.55,3.5,-85.0,,-85.0,,,0.0,42.98,https://app.zendrop.com/product,home,Zendrop Product Card,Zendrop,https://file.zendrop.com/products/dc/bd/9ddbda7d45a4ad4badcc8903453b.jpeg,,2026-06-23 16:37:19,2026-06-23 16:37:19
FITWAY | 1 pair 2 lbs | Adjustable Silicone ankle weights | - wrist weights - | ankle weights for women -ankle weights for men | 2lb ankle weights| Suitable for Yoga Dance Pilates | water-resistant silicone (pink),Amazon Products,fitway | 1 pair 2 lbs | adjustable silicone ankle weights | - wrist weights - | ankle weights for women -ankle weights for men | 2lb ankle weights| suitable for yoga dance pilates | water-resistant silicone (pink),31.58,1.7,80.0,,80.0,,,0.0,85.27,https://app.zendrop.com/product,fitness,Zendrop Product Card,Zendrop,https://file.zendrop.com/products/c2/d1/e026f5e4445fa13ef31a4ff7872a.jpeg,,2026-06-23 16:37:19,2026-06-23 16:37:19
Oversized faded Lets Save the Whales t-shirt,Tropical Seas Clothing,oversized faded lets save the whales t-shirt,56.29,3.2,-50.0,,-50.0,,,0.0,236.42,https://app.zendrop.com/product,clothing,Zendrop Product Card,Zendrop,https://file.zendrop.com/products/47/96/1daf5e224e1b899a668c0a6e749b.jpeg,,2026-06-23 16:37:19,2026-06-23 16:37:19
High-Waist Denim Cargo Pants with Nine Points,Zendrop Fulfillment,high-waist denim cargo pants with nine points,4.99,1.1,-6.0,,-6.0,,,0.0,10.48,https://app.zendrop.com/product,car,Zendrop Product Card,Zendrop,https://file.zendrop.com/products/7a/84/a5a96431430e9a8de70d1e923c60.jpeg,,2026-06-23 16:37:19,2026-06-23 16:37:19
Men’s Tropical Undertow Windbreaker,Tropical Seas Clothing,men’s tropical undertow windbreaker,77.63,0.1,90.0,,90.0,,,0.0,85.39,https://app.zendrop.com/product?page=1,general,Zendrop Product Card,Zendrop,https://file.zendrop.com/products/ca/01/23ef761c485fb9ce564d336e0d24.jpeg,,2026-06-23 17:10:07,2026-06-23 17:10:07
Printed Deep V-Neck Dress with Elastic Waist,Zendrop Fulfillment,printed deep v-neck dress with elastic waist,7.63,2.2,89.0,,89.0,,,0.0,24.42,https://app.zendrop.com/product,clothing,Zendrop Product Card,Zendrop,https://file.zendrop.com/products/65/fd/b01770064e71a58fdfb85e794fde.jpeg,,2026-06-23 16:37:19,2026-06-23 16:37:19
Spring New High-Waisted Skinny Pants Collection,Zendrop Fulfillment,spring new high-waisted skinny pants collection,8.28,1.2,98.0,,98.0,,,0.0,18.22,https://app.zendrop.com/product,beauty,Zendrop Product Card,Zendrop,https://file.zendrop.com/products/38/e8/649f7bc54ad89469a2e29d8238a8.jpeg,,2026-06-23 16:37:19,2026-06-23 16:37:19
Christmas Stocking Gift Bag and Tree Decorations,Zendrop Fulfillment,christmas stocking gift bag and tree decorations,0.86,4.9,-33.0,,-33.0,,,0.0,5.07,https://app.zendrop.com/product,home,Zendrop Product Card,Zendrop,https://file.zendrop.com/products/6a/3e/1dba27fb49149582439531976b6c.jpeg,,2026-06-23 16:37:19,2026-06-23 16:37:19
